,0,id,resolution,length,mol
0,4kli_A_A,4kli_A_A,1.597,326,dna polymerase beta
1,5b0z_A_A,5b0z_A_A,1.987,96,histone h3.2
2,4tqr_A_A,4tqr_A_A,1.58,342,dna polymerase iv
3,4yfu_A_A,4yfu_A_A,1.5,578,dna polymerase
4,5kfz_A_B,5kfz_A_B,1.44,430,dna polymerase eta
5,3qex_A_A,3qex_A_A,1.73,901,dna polymerase
6,3g9m_A_A,3g9m_A_A,1.61,78,glucocorticoid receptor
7,3igk_A_B,3igk_A_B,1.7,197,cellular tumor antigen p53
8,3u6p_A_A,3u6p_A_A,1.6,252,formamidopyrimidine-dna glycosylase
9,2vbl_A_A,2vbl_A_A,1.8,152,dna endonuclease i-crei
10,3s8q_A_B,3s8q_A_B,2.1,76,r-m controller protein
11,5iwi_A_A,5iwi_A_A,1.98,483,dna gyrase subunit a
12,1f44_A_B,1f44_A_B,2.05,316,cre recombinase
13,2vs7_A_B,2vs7_A_B,2.05,179,homing endonuclease i-dmoi
14,3oym_A_B,3oym_A_B,2.02,368,pfv integrase
15,5ds9_A_A,5ds9_A_A,2.561,91,dna-binding protein fis
16,5dff_A_A,5dff_A_A,1.57,276,dna-(apurinic or apyrimidinic site) lyase
17,3v6t_A_A,3v6t_A_A,1.85,491,dhax3
18,3v9w_A_A,3v9w_A_A,1.702,202,ribonuclease t
19,3cw7_A_A,3cw7_A_A,2.3,282,dna-3-methyladenine glycosylase 2
20,3fde_A_A,3fde_A_A,1.41,209,e3 ubiquitin-protein ligase uhrf1
21,1p71_A_A,1p71_A_A,1.9,94,dna-binding protein hu
22,2xhi_A_B,2xhi_A_B,1.55,316,n-glycosylase/dna lyase
23,4uno_A_A,4uno_A_A,1.95,95,ets translocation variant 5
24,1wb9_A_A,1wb9_A_A,2.1,788,dna mismatch repair protein muts
25,4lox_A_A,4lox_A_A,1.98,300,laglidadg homing endonuclease i-smami
26,2e52_A_A,2e52_A_A,2.0,299,type ii restriction enzyme hindiii
27,5k5q_A_A,5k5q_A_A,2.649,89,aspa
28,2gig_A_A,2gig_A_A,1.83,249,type ii restriction enzyme hincii
29,4xpc_A_A,4xpc_A_A,1.68,247,reverse transcriptase
30,4zhn_A_A,4zhn_A_A,1.333,200,alpha-ketoglutarate-dependent dioxygenase alkb
31,3vaj_A_A,3vaj_A_A,1.9,174,splicing factor u2af 65 kda subunit
32,3l2c_A_A,3l2c_A_A,1.868,85,forkhead box protein o4
33,2jlg_A_A,2jlg_A_A,2.8,664,rna-directed rna polymerase
34,5dlj_A_A,5dlj_A_A,2.6,267,crispr-associated endonuclease cas1
35,5f8a_A_B,5f8a_A_B,1.76,244,type-2 restriction enzyme ecorv
36,1zrf_A_A,1zrf_A_A,2.1,203,catabolite gene activator
37,1egw_A_B,1egw_A_B,1.5,71,"mads box transcription enhancer factor 2,polypeptide a "
38,1gu4_A_A,1gu4_A_A,1.8,65,caat/enhancer binding protein beta
39,4l5r_C_B,4l5r_C_B,1.873,198,interferon-activable protein 202
40,3q23_A_A,3q23_A_A,1.8,1095,virion rna polymerase
41,3k59_A_A,3k59_A_A,1.92,781,dna polymerase ii
42,3dvo_A_A,3dvo_A_A,1.892,334,sgrair restriction enzyme
43,4gz1_A_B,4gz1_A_B,1.5,254,tyrosyl-dna phosphodiesterase 2
44,5iwi_B_A,5iwi_B_A,1.98,192,"dna gyrase subunit b,dna gyrase subunit b"
45,4z47_A_A,4z47_A_A,1.45,196,g/t mismatch-specific thymine dna glycosylase
46,4gck_A_A,4gck_A_A,2.05,190,nucleoid occlusion factor slma
47,1rxw_A_A,1rxw_A_A,2.0,305,flap structure-specific endonuclease
48,4z8f_H_A,4z8f_H_A,1.75,226,s1-15 fab (igg2b) heavy chain
49,3s57_A_B,3s57_A_B,1.6,204,alpha-ketoglutarate-dependent dioxygenase alkb homolog 2
50,3lap_A_A,3lap_A_A,2.15,149,arginine repressor
51,1x9m_A_A,1x9m_A_A,2.1,675,dna polymerase
52,1tez_A_A,1tez_A_A,1.8,474,deoxyribodipyrimidine photolyase
53,1nh2_A_B,1nh2_A_B,1.9,180,transcription initiation factor tfiid
54,3od8_A_B,3od8_A_B,2.4,87,poly [adp-ribose] polymerase 1
55,5cl8_A_B,5cl8_A_B,1.38,231,alkd
56,4htu_A_B,4htu_A_B,1.489,134,ribonuclease h
57,4qqw_A_A,4qqw_A_A,2.664,911,"crispr-associated helicase, cas3 family"
58,2is6_A_A,2is6_A_A,2.2,654,dna helicase ii
59,1rff_A_A,1rff_A_A,1.7,425,tyrosyl-dna phosphodiesterase 1
60,2ih2_A_A,2ih2_A_A,1.61,393,modification methylase taqi
61,3mx4_A_A,3mx4_A_A,2.5,213,eco29kir
62,4l62_A_A,4l62_A_A,2.9,190,transcriptional regulator
63,3kmp_A_A,3kmp_A_A,2.7,124,smad1-mh1
64,2irf_G_A,2irf_G_A,2.2,109,interferon regulatory factor 2
65,1c8c_A_A,1c8c_A_A,1.45,64,dna-binding protein 7a
66,4ncb_A_A,4ncb_A_A,2.189,676,argonaute
